name,place_id,types,rating,price_level,user_ratings_total,vicinity,geometry_location_lat,geometry_location_lng,Monday F,Tuesday F,Wednesday F,Thursday F,Friday F,Saturday F,Sunday F,Total F,Conclusion
Mamma Grazzi's Kitchen,ChIJB2lWHQIFzkwRAuAWWtr2N8I,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.8,2.0,210.0,"25 George Street, Ottawa",45.42670589999999,-75.6934996,9.5,9.5,9.5,9.5,9.5,9.5,9.5,66.5,Open
The Fish Market Restaurant,ChIJt4fOcwIFzkwRq-djRs_tKMA,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.1,2.0,1117.0,"54 York Street, Ottawa",45.42817270000001,-75.69237640000001,10.5,10.5,10.5,10.5,11.5,11.5,10.5,75.5,Open
Chez Lucien,ChIJmeLnXv0EzkwRJwwPMMVrh6M,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.6,2.0,1527.0,"137 Murray Street, Ottawa",45.4304924,-75.69202419999998,15.0,15.0,15.0,15.0,15.0,15.0,15.0,105.0,Open
Oh So Good Desserts,ChIJg1fB7f0EzkwR9EZSMIT5YkU,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",4.3,2.0,907.0,"25 York Street, Ottawa",45.42789719999999,-75.69406109999998,11.0,11.0,11.0,11.0,12.0,14.0,13.0,83.0,Open
Rôtisserie St-Hubert,ChIJ2agcfu0EzkwRRiTG01yKH00,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.2,2.0,1395.0,"225 Boulevard Maisonneuve, Gatineau",45.4339523,-75.71306609999998,10.0,10.0,10.0,10.0,10.0,10.0,10.0,70.0,Open
Restaurant Maison Samorn,ChIJd68wivQEzkwRyPHJ67ww0P0,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.9,2.0,110.0,"53 Rue Kent, Gatineau",45.42867920000001,-75.7153864,3.0,3.0,7.0,7.0,7.0,4.0,0.0,31.0,Open
Fatboys Southern Smokehouse,ChIJJZYIC_0EzkwRRdE9sfMyc-U,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.4,2.0,1199.0,"34 Murray Street, Ottawa",45.4290335,-75.69491790000002,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,Closed
Le Troquet,ChIJTV7fG_UEzkwRdfAu0tkkaeA,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.3,2.0,343.0,"41 Rue Laval, Gatineau",45.4268629,-75.71645389999998,15.0,15.0,17.0,17.0,17.0,17.0,15.0,113.0,Open
Khao Thai Restaurant,ChIJ_3mQbv0EzkwRflSQHIgsspE,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.3,2.0,478.0,"103 Murray Street, Ottawa",45.4299858,-75.6931803,0.0,4.0,4.0,4.0,4.0,4.0,4.0,24.0,Open
La Belle Verte,ChIJH5C-howEzkwRf1DNcNtyTMI,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.7,2.0,536.0,"166 Rue Eddy, Gatineau",45.43077400000001,-75.720206,10.0,10.0,10.0,10.0,10.0,10.0,0.0,60.0,Open
Hokkaido Sushi,ChIJg2YiYv0EzkwR1TpwdLQ5s9k,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.6,2.0,974.0,"272 Dalhousie Street, Ottawa",45.4300565,-75.6923901,9.0,0.0,9.0,9.0,9.0,9.0,9.0,54.0,Open
Chez Le Thai restaurant,ChIJhxxpCPUEzkwRf62q-LRaO7s,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,2.0,131.0,"39 Rue Laval, Gatineau",45.4267806,-75.71649920000002,8.0,8.0,8.0,8.0,8.0,5.0,0.0,45.0,Open
Cornerstone Bar and Grill,ChIJFdO5gf0EzkwRzt0JgxI6MkA,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.8,2.0,582.0,"92 Clarence Street, Ottawa",45.429024,-75.692759,11.5,11.5,11.5,14.5,14.5,14.5,11.5,89.5,Open
